카테고리,번호,체크 항목,담당자,기한,상태,비고
앱스토어 등록,1,앱 아이콘 제작 (1024x1024px),,, ,
앱스토어 등록,2,스크린샷 제작 (6.5인치 / 5.5인치),,, ,
앱스토어 등록,3,앱 이름 및 부제목 확정,,, ,
앱스토어 등록,4,앱 설명문 작성 (한국어),,, ,
앱스토어 등록,5,키워드 설정 (ASO 최적화),,, ,
앱스토어 등록,6,연령 등급 설정,,, ,
앱스토어 등록,7,카테고리 설정,,, ,
앱스토어 등록,8,앱 미리보기 영상 제작,,, ,
앱스토어 등록,9,앱스토어 심사 제출,,, ,
기술/개발,10,프로덕션 서버 배포 및 점검,,, ,
기술/개발,11,API 안정성 테스트,,, ,
기술/개발,12,AI 채팅 기능 최종 확인,,, ,
기술/개발,13,회원가입 / 로그인 플로우 테스트,,, ,
기술/개발,14,푸시 알림 전송 테스트,,, ,
기술/개발,15,결제 플로우 최종 확인 (구독),,, ,
기술/개발,16,앱 크래시 / 버그 점검,,, ,
기술/개발,17,성능 테스트 (로딩속도 3초 이내),,, ,
기술/개발,18,iOS / Android 크로스 테스트,,, ,
기술/개발,19,오프라인 상태 대응 처리 확인,,, ,
기술/개발,20,Firebase / 분석 툴 연동 확인,,, ,
법무/정책,21,이용약관 작성 및 법무 검토,,, ,
법무/정책,22,개인정보처리방침 작성 및 게시,,, ,
법무/정책,23,개인정보처리방침 URL 앱스토어 등록,,, ,
법무/정책,24,AI 생성 콘텐츠 관련 법적 검토,,, ,
법무/정책,25,청소년 보호 정책 확인,,, ,
법무/정책,26,저작권 및 초상권 검토,,, ,
마케팅/운영,27,SNS 채널 개설 및 프로필 세팅 (인스타그램 등),,, ,
마케팅/운영,28,런칭 공지 콘텐츠 제작,,, ,
마케팅/운영,29,사전 예약 / 베타 유저 모집 완료,,, ,
마케팅/운영,30,인플루언서 / 바이럴 채널 컨택,,, ,
마케팅/운영,31,런칭 이벤트 기획 및 준비,,, ,
마케팅/운영,32,앱 소개 페이지 (랜딩페이지) 제작,,, ,
고객 지원,33,고객 문의 채널 개설 (이메일 / 카카오채널 등),,, ,
고객 지원,34,FAQ 작성 및 게시,,, ,
고객 지원,35,CS 응대 가이드 작성,,, ,
고객 지원,36,앱 내 신고 / 차단 기능 확인,,, ,
OKR 점검,37,런칭 30일 내 가입자 1000명 달성 계획 수립,,, ,
OKR 점검,38,Day 7 리텐션 측정 방법 세팅,,, ,
OKR 점검,39,온보딩 완주율 측정 이벤트 설정,,, ,
OKR 점검,40,앱스토어 평점 관리 전략 수립,,, ,
